"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NO69",760,0,0.058,59.29,29.38,0.74,0.4,9.7,8
"NO74",761,0,0.05,29.25,35.44,0.74,0.1,1.6,32
"NO75",762,0,0.051,61.2,34.51,0.74,0.1,1.8,7
"NO76",763,0,0.057,34.29,34.7,0.74,0.1,1.5,9
"NO77",764,0,0.051,36.92,35.86,0.74,0.1,1.3,10
"NO78",765,0,0.064,56.86,26.42,0.74,0.4,9.2,7
"NO79",766,0,0.064,215.01,28.96,0.74,0.2,9.1,7
"NO86",767,0,0.052,96.08,34.56,0.74,0.1,1.9,13
"NO87",768,0,0.049,37.42,37.2,0.74,0.1,1.3,13
"NO88",769,0,0.078,21.98,37.05,0.74,0.1,1.4,19
"NO89",770,0,0.082,136.22,34.48,0.74,0.1,2.5,16
"NO99",771,0,0.064,33.97,35.61,0.74,0.1,1.3,6
"NR15",772,0,0.032,498.39,31.27,0.74,0.1,4,15
"NR16",773,0,0.028,95.91,37.94,0.74,0.1,4.4,19
"NR24",774,0,0.051,46.64,36.32,0.74,0.1,3,11
"NR25",775,0,0.026,63.74,34.07,0.74,0.2,5.4,32
"NR26",776,0,0.052,152.06,36.52,0.74,0.1,4.7,9
"NR27",777,1,0.055,118.48,36.63,0.74,0.1,3.7,7
"NR33",778,0,0.038,90.55,33.03,0.74,0.1,4,8
"NR34",779,0,0.034,58.65,37.09,0.74,0.2,5.7,27
"NR35",780,0,0.057,155.09,33.54,0.74,0.1,5,7
"NR36",781,0,0.032,56.31,38.64,0.74,0.2,5.4,29
"NR37",782,0,0.036,61.1,39.54,0.74,0.2,5.8,31
"NR38",783,0,0.03,72.22,40.26,0.74,0.2,5.1,15
"NR39",784,0,0.026,62.31,35.69,0.74,0.2,5.4,31
"NR44",785,0,0.039,41.84,39.61,0.74,0.3,5.6,32
"NR45",786,0,0.041,60.39,36.73,0.74,0.2,4.6,6
"NR46",787,0,0.036,74.97,38.08,0.74,0.2,5.8,24
"NR47",788,1,0.044,99.14,37.33,0.74,0.2,5.3,9
"NR48",789,0,0.031,79.36,38.63,0.74,0.1,5,10
"NR49",790,0,0.035,44.08,34.87,0.74,0.2,5.4,32
"NR50",791,0,0.042,45.14,32.31,0.74,0.2,5.2,13
"NR51",792,0,0.039,51.45,33.16,0.74,0.2,5,8
"NR56",793,0,0.042,36.96,36.56,0.74,0.3,5.6,31
"NR57",794,0,0.037,57.63,35.19,0.74,0.2,4.3,11
"NR58",795,0,0.029,51.81,35.51,0.74,0.2,5.6,32
"NR59",796,0,0.034,42.7,34.54,0.74,0.2,5.6,32
"NR60",797,0,0.05,162.76,31.69,0.74,0.1,5,15
"NR61",798,0,0.038,49.5,30.27,0.74,0.2,5,27
"NR62",799,0,0.031,45.6,33.8,0.74,0.1,2.2,31
"NR63",800,0,0.038,187.35,32.53,0.74,0.1,5.5,7
"NR64",801,0,0.047,40.76,29.78,0.74,0.1,1.7,10
"NR65",802,0,0.039,58.86,34.84,0.74,0.2,4.3,17
"NR67",803,1,0.044,115.35,31.3,0.74,0.1,4.7,7
"NR68",804,0,0.029,65.41,32.61,0.74,0.1,4.1,17
"NR69",805,0,0.02,145.18,34.62,0.74,0.1,6,17
"NR70",806,0,0.041,39.03,32.06,0.74,0.1,2.3,30
"NR71",807,0,0.051,39.85,30.93,0.74,0.3,5,26
"NR72",808,0,0.049,50.98,31.95,0.74,0.2,4.3,9
"NR73",809,0,0.052,42.02,31.6,0.74,0.3,5.4,12
"NR74",810,0,0.04,64.71,33.25,0.74,0.2,5.7,8
"NR75",811,0,0.057,29.86,35.35,0.74,0.3,4.9,27
"NR76",812,0,0.047,41.06,35.2,0.74,0.3,5.4,23
"NR77",813,0,0.045,36.13,37.86,0.74,0.3,5.7,28
"NR78",814,6,0.07,23.27,37.82,0.74,0.4,4.7,31
"NR79",815,0,0.055,38.44,36.8,0.74,0.3,5,26
"NR82",816,0,0.045,34.97,33.32,0.74,0.1,1.8,20
"NR83",817,0,0.067,40.69,32.77,0.74,0.3,4.9,11
"NR84",818,0,0.053,41.37,32.38,0.74,0.3,5.1,11
"NR85",819,0,0.047,38.92,35.31,0.74,0.3,5.3,27
"NR86",820,0,0.048,43.38,36.92,0.74,0.3,5.6,18
"NR87",821,0,0.047,42.56,35.57,0.74,0.3,6,17
"NR88",822,0,0.039,51.43,35.83,0.74,0.2,5.4,13
"NR89",823,0,0.052,49.14,36.14,0.74,0.2,5.1,10
"NR92",824,0,0.049,45.65,30.66,0.74,0.2,3.4,5
"NR93",825,1,0.052,37.79,27.98,0.74,0.3,4.7,5
"NR94",826,1,0.068,28.07,23.1,0.74,0.3,3.6,6
"NR95",827,0,0.057,38.38,33.06,0.74,0.3,5,17
"NR96",828,0,0.046,42.15,37.9,0.74,0.3,5.3,22
"NR97",829,1,0.046,46.91,37.81,0.74,0.3,5.5,10
"NR98",830,0,0.044,45.86,36.33,0.74,0.3,5.4,10
"NR99",831,0,0.049,50.79,34.83,0.74,0.2,5.2,5
